world,strategy,ruin_type,count,total,pct,mean_step
FastExpansionRace,Adaptive_NRMOvNext_OmegaFull,environment_collapse,7,13,53.8,94.4
FastExpansionRace,Adaptive_NRMOvNext_OmegaFull,exposure_cascade,3,13,23.1,29.0
FastExpansionRace,Adaptive_NRMOvNext_OmegaFull,resource_collapse,3,13,23.1,43.0
FastExpansionRace,Adaptive_NRMOvNext_SE,environment_collapse,13,19,68.4,109.2
FastExpansionRace,Adaptive_NRMOvNext_SE,exposure_cascade,4,19,21.1,70.8
FastExpansionRace,Adaptive_NRMOvNext_SE,knowledge_freeze,1,19,5.3,118.0
FastExpansionRace,Adaptive_NRMOvNext_SE,resource_collapse,1,19,5.3,29.0
FastExpansionRace,AlphaSearch,environment_collapse,16,20,80.0,73.2
FastExpansionRace,AlphaSearch,exposure_cascade,4,20,20.0,43.2
FastExpansionRace,ExpectedValueMax,environment_collapse,17,20,85.0,67.6
FastExpansionRace,ExpectedValueMax,exposure_cascade,3,20,15.0,38.3
FastExpansionRace,NRMO_Original,environment_collapse,18,20,90.0,87.5
FastExpansionRace,NRMO_Original,exposure_cascade,2,20,10.0,39.5
FastExpansionRace,NRMO_StrongEngine,environment_collapse,14,19,73.7,87.9
FastExpansionRace,NRMO_StrongEngine,exposure_cascade,5,19,26.3,34.0
FastExpansionRace,NRMO_vNext,environment_collapse,13,17,76.5,107.5
FastExpansionRace,NRMO_vNext,exposure_cascade,3,17,17.6,35.3
FastExpansionRace,NRMO_vNext,resource_collapse,1,17,5.9,8.0
FastExpansionRace,NRMOvNext_StrongEngine,environment_collapse,15,19,78.9,113.3
FastExpansionRace,NRMOvNext_StrongEngine,exposure_cascade,2,19,10.5,41.5
FastExpansionRace,NRMOvNext_StrongEngine,resource_collapse,2,19,10.5,37.0
FastExpansionRace,RiskAdjustedUtility,environment_collapse,5,13,38.5,130.2
FastExpansionRace,RiskAdjustedUtility,knowledge_freeze,3,13,23.1,75.0
FastExpansionRace,RiskAdjustedUtility,resource_collapse,3,13,23.1,87.3
FastExpansionRace,RiskAdjustedUtility,exposure_cascade,2,13,15.4,57.5
FastExpansionRace,UltraConservative,resource_collapse,19,20,95.0,79.2
FastExpansionRace,UltraConservative,knowledge_freeze,1,20,5.0,102.0
LateStagnation,AlphaSearch,environment_collapse,7,7,100.0,156.4
LateStagnation,ExpectedValueMax,environment_collapse,15,15,100.0,131.9
LateStagnation,NRMO_Original,environment_collapse,2,2,100.0,104.5
LateStagnation,NRMO_StrongEngine,environment_collapse,2,2,100.0,148.5
LateStagnation,UltraConservative,resource_collapse,1,1,100.0,160.0
Normal,Adaptive_NRMOvNext_SE,environment_collapse,1,1,100.0,190.0
Normal,AlphaSearch,environment_collapse,19,19,100.0,132.5
Normal,ExpectedValueMax,environment_collapse,19,20,95.0,107.7
Normal,ExpectedValueMax,exposure_cascade,1,20,5.0,140.0
Normal,NRMO_Original,environment_collapse,14,14,100.0,129.6
Normal,NRMO_StrongEngine,environment_collapse,12,12,100.0,117.7
Normal,NRMO_vNext,environment_collapse,2,2,100.0,160.0
Normal,RiskAdjustedUtility,knowledge_freeze,1,1,100.0,132.0
Normal,UltraConservative,resource_collapse,5,6,83.3,165.6
Normal,UltraConservative,knowledge_freeze,1,6,16.7,54.0
PlanetaryStress,Adaptive_NRMOvNext_OmegaFull,resource_collapse,4,7,57.1,82.5
PlanetaryStress,Adaptive_NRMOvNext_OmegaFull,environment_collapse,2,7,28.6,156.5
PlanetaryStress,Adaptive_NRMOvNext_OmegaFull,exposure_cascade,1,7,14.3,138.0
PlanetaryStress,Adaptive_NRMOvNext_SE,resource_collapse,9,11,81.8,46.6
PlanetaryStress,Adaptive_NRMOvNext_SE,environment_collapse,2,11,18.2,158.0
PlanetaryStress,AlphaSearch,environment_collapse,16,20,80.0,67.9
PlanetaryStress,AlphaSearch,exposure_cascade,4,20,20.0,65.5
PlanetaryStress,ExpectedValueMax,environment_collapse,18,20,90.0,69.4
PlanetaryStress,ExpectedValueMax,exposure_cascade,1,20,5.0,64.0
PlanetaryStress,ExpectedValueMax,resource_collapse,1,20,5.0,6.0
PlanetaryStress,NRMO_Original,environment_collapse,16,20,80.0,100.2
PlanetaryStress,NRMO_Original,exposure_cascade,4,20,20.0,48.8
PlanetaryStress,NRMO_StrongEngine,environment_collapse,16,19,84.2,84.4
PlanetaryStress,NRMO_StrongEngine,resource_collapse,2,19,10.5,10.0
PlanetaryStress,NRMO_StrongEngine,exposure_cascade,1,19,5.3,39.0
PlanetaryStress,NRMO_vNext,environment_collapse,10,13,76.9,140.5
PlanetaryStress,NRMO_vNext,resource_collapse,3,13,23.1,101.7
PlanetaryStress,NRMOvNext_StrongEngine,environment_collapse,6,11,54.5,140.8
PlanetaryStress,NRMOvNext_StrongEngine,exposure_cascade,3,11,27.3,123.0
PlanetaryStress,NRMOvNext_StrongEngine,resource_collapse,2,11,18.2,54.5
PlanetaryStress,RiskAdjustedUtility,environment_collapse,9,14,64.3,129.4
PlanetaryStress,RiskAdjustedUtility,exposure_cascade,2,14,14.3,133.5
PlanetaryStress,RiskAdjustedUtility,resource_collapse,2,14,14.3,135.0
PlanetaryStress,RiskAdjustedUtility,knowledge_freeze,1,14,7.1,76.0
PlanetaryStress,UltraConservative,resource_collapse,19,19,100.0,50.6
Vulnerable,Adaptive_NRMOvNext_OmegaFull,resource_collapse,13,19,68.4,67.1
Vulnerable,Adaptive_NRMOvNext_OmegaFull,environment_collapse,2,19,10.5,108.0
Vulnerable,Adaptive_NRMOvNext_OmegaFull,exposure_cascade,2,19,10.5,81.0
Vulnerable,Adaptive_NRMOvNext_OmegaFull,governance_collapse,1,19,5.3,84.0
Vulnerable,Adaptive_NRMOvNext_OmegaFull,optionality_collapse,1,19,5.3,13.0
Vulnerable,Adaptive_NRMOvNext_SE,environment_collapse,11,19,57.9,95.6
Vulnerable,Adaptive_NRMOvNext_SE,resource_collapse,8,19,42.1,47.4
Vulnerable,AlphaSearch,environment_collapse,12,20,60.0,73.8
Vulnerable,AlphaSearch,exposure_cascade,6,20,30.0,39.2
Vulnerable,AlphaSearch,resource_collapse,2,20,10.0,6.0
Vulnerable,ExpectedValueMax,environment_collapse,11,20,55.0,46.2
Vulnerable,ExpectedValueMax,exposure_cascade,8,20,40.0,37.2
Vulnerable,ExpectedValueMax,optionality_collapse,1,20,5.0,14.0
Vulnerable,NRMO_Original,environment_collapse,14,20,70.0,63.6
Vulnerable,NRMO_Original,exposure_cascade,6,20,30.0,30.3
Vulnerable,NRMO_StrongEngine,environment_collapse,19,20,95.0,73.0
Vulnerable,NRMO_StrongEngine,resource_collapse,1,20,5.0,6.0
Vulnerable,NRMO_vNext,environment_collapse,9,19,47.4,85.6
Vulnerable,NRMO_vNext,resource_collapse,5,19,26.3,35.0
Vulnerable,NRMO_vNext,exposure_cascade,2,19,10.5,85.5
Vulnerable,NRMO_vNext,knowledge_freeze,2,19,10.5,112.5
Vulnerable,NRMO_vNext,governance_collapse,1,19,5.3,16.0
