strategy,ruin_type,count,total,pct
Adaptive_NRMOvNext_OmegaFull,resource_collapse,20,39,51.3
Adaptive_NRMOvNext_OmegaFull,environment_collapse,11,39,28.2
Adaptive_NRMOvNext_OmegaFull,exposure_cascade,6,39,15.4
Adaptive_NRMOvNext_OmegaFull,governance_collapse,1,39,2.6
Adaptive_NRMOvNext_OmegaFull,optionality_collapse,1,39,2.6
Adaptive_NRMOvNext_SE,environment_collapse,27,50,54.0
Adaptive_NRMOvNext_SE,resource_collapse,18,50,36.0
Adaptive_NRMOvNext_SE,exposure_cascade,4,50,8.0
Adaptive_NRMOvNext_SE,knowledge_freeze,1,50,2.0
AlphaSearch,environment_collapse,70,86,81.4
AlphaSearch,exposure_cascade,14,86,16.3
AlphaSearch,resource_collapse,2,86,2.3
ExpectedValueMax,environment_collapse,80,95,84.2
ExpectedValueMax,exposure_cascade,13,95,13.7
ExpectedValueMax,optionality_collapse,1,95,1.1
ExpectedValueMax,resource_collapse,1,95,1.1
NRMO_Original,environment_collapse,64,76,84.2
NRMO_Original,exposure_cascade,12,76,15.8
NRMO_StrongEngine,environment_collapse,63,72,87.5
NRMO_StrongEngine,exposure_cascade,6,72,8.3
NRMO_StrongEngine,resource_collapse,3,72,4.2
NRMO_vNext,environment_collapse,34,51,66.7
NRMO_vNext,resource_collapse,9,51,17.6
NRMO_vNext,exposure_cascade,5,51,9.8
NRMO_vNext,knowledge_freeze,2,51,3.9
NRMO_vNext,governance_collapse,1,51,2.0
NRMOvNext_StrongEngine,environment_collapse,28,48,58.3
NRMOvNext_StrongEngine,resource_collapse,11,48,22.9
NRMOvNext_StrongEngine,exposure_cascade,6,48,12.5
NRMOvNext_StrongEngine,knowledge_freeze,3,48,6.2
RiskAdjustedUtility,environment_collapse,23,47,48.9
RiskAdjustedUtility,resource_collapse,8,47,17.0
RiskAdjustedUtility,exposure_cascade,6,47,12.8
RiskAdjustedUtility,knowledge_freeze,6,47,12.8
RiskAdjustedUtility,governance_collapse,3,47,6.4
RiskAdjustedUtility,optionality_collapse,1,47,2.1
UltraConservative,resource_collapse,63,66,95.5
UltraConservative,knowledge_freeze,2,66,3.0
UltraConservative,exposure_cascade,1,66,1.5
