world,strategy,n,survival_rate,true_ruin_rate,passive_ruin_rate,mean_lifespan,median_lifespan,mean_final_R,mean_final_E,mean_final_G,mean_final_O,mean_final_K,mean_final_X,mean_peak_X,mean_cum_prod,mean_prod,mean_switches,score
FastExpansionRace,Adaptive_NRMOvNext_OmegaFull,20.0,0.35,0.65,0.0,113.85,115.0,78.034062382697,17.27325657155392,95.87635515019255,108.05856958208389,92.17428807848471,61.90291676451405,77.52434337163184,73.05732720180917,0.5785406881030364,4.55,0.026224860483213652
FastExpansionRace,Adaptive_NRMOvNext_SE,20.0,0.1,0.9,0.05,106.55,90.0,81.71644010126711,9.69165937586988,102.35432857141184,117.96158679842054,101.45373101845935,61.50659077891314,81.32095866258695,58.9513941639065,0.5339465004791419,5.8,-0.4104007765973269
FastExpansionRace,AlphaSearch,20.0,0.0,1.0,0.0,67.2,69.5,108.4428138058166,5.423643794541179,89.49028698561514,117.64222315594039,72.43412961970235,72.3958702434385,78.37179332097386,52.02166768521992,0.7542548943199777,0.0,-0.5719912318203318
FastExpansionRace,ExpectedValueMax,20.0,0.0,1.0,0.0,63.2,58.5,112.617260007412,4.09868204249302,90.39389467974728,112.9561862335431,74.87369802040651,76.04505370767563,79.44951152943096,52.30202744852344,0.7988609582900306,0.0,-0.5811745109338968
FastExpansionRace,NRMO_Original,20.0,0.0,1.0,0.0,82.7,65.0,97.81648414052833,4.338799037209741,97.78752318321852,118.53843561591286,90.08618828511419,60.68855465849039,72.55000383976024,55.761510538687574,0.6499447017919394,0.0,-0.560248757745946
FastExpansionRace,NRMO_StrongEngine,20.0,0.05,0.95,0.0,80.05,70.5,93.1250633799574,5.420521263426462,95.33023141856796,114.60013188742141,90.04704354419253,60.944815805413114,76.15521007509987,55.59754098557306,0.6556483256343832,0.0,-0.4809645054581203
FastExpansionRace,NRMO_vNext,20.0,0.15,0.85,0.0,105.55,90.0,98.31907446672855,11.841770355545416,104.39335778615285,117.26468135106067,98.873665901986,55.29784223089585,70.3426546667073,67.36944924003063,0.6128788029563939,0.0,-0.2982225401493621
FastExpansionRace,NRMOvNext_StrongEngine,20.0,0.05,0.95,0.0,102.85,105.5,88.73305888215539,6.419116269944143,108.93438332098158,119.06448612060012,104.90019941197042,53.31782518885768,69.24814437738773,59.298901398438986,0.5434834365271735,0.0,-0.4674356318804532
FastExpansionRace,RiskAdjustedUtility,20.0,0.5,0.5,0.25,151.4,197.5,81.20939540238143,36.26770352870465,108.71580486590054,118.66330428191762,84.1674107264375,52.455671020719365,69.87486415926836,75.2747425555388,0.471866953751899,0.0,0.2040624175504712
FastExpansionRace,UltraConservative,20.0,0.05,0.95,0.15,85.25,84.5,4.504617649447317,116.47356063808977,118.79787142054286,118.64644835649601,62.42544695407328,20.403811113208484,28.798040423239048,5.760943758623219,0.0684043765805988,0.0,-0.5241111640900241
